Date,Open,High,Low,Close,Volume,Change
2019-10-18,3570,4640,3570,4640,433,
2019-10-21,6030,6030,6030,6030,131,0.2995689655172413
2019-10-22,7830,7830,7830,7830,14,0.29850746268656714
2019-10-23,10150,10150,10150,10150,273,0.2962962962962963
2019-10-24,13150,13150,13150,13150,304,0.29556650246305427
2019-10-25,17050,17050,17050,17050,293,0.29657794676806093
2019-10-28,0,0,0,17050,0,0.0
2019-10-29,22150,22150,22150,22150,680,0.29912023460410553
2019-10-30,28400,28750,21050,28750,532247,0.2979683972911964
2019-10-31,0,0,0,28750,0,0.0
2019-11-01,31200,36400,29350,34000,480639,0.18260869565217397
2019-11-04,35300,36800,28350,28350,347995,-0.16617647058823526
2019-11-05,27100,27550,22150,23000,291943,-0.18871252204585542
2019-11-06,22800,25900,21350,24000,303947,0.04347826086956519
2019-11-07,23550,23550,20250,21350,136605,-0.11041666666666672
2019-11-08,20800,22850,20250,20850,150637,-0.023419203747072626
2019-11-11,20650,22400,19800,19850,110751,-0.04796163069544368
2019-11-12,20450,20500,18100,18700,74621,-0.057934508816120944
2019-11-13,18700,19350,17850,18650,60486,-0.002673796791443861
2019-11-14,18650,18900,17850,18600,51540,-0.002680965147453085
2019-11-15,19900,21100,18500,19600,209556,0.053763440860215006
2019-11-18,20200,20400,18650,19050,68666,-0.028061224489795866
2019-11-19,18200,19300,17600,18050,57057,-0.05249343832021003
2019-11-20,17550,18150,16900,17000,28829,-0.05817174515235457
2019-11-21,17100,17300,15700,15900,32210,-0.06470588235294117
2019-11-22,15550,15900,15050,15650,22456,-0.01572327044025157
2019-11-25,15950,16750,15550,16250,16074,0.03833865814696491
2019-11-26,16000,16150,15300,15750,14452,-0.03076923076923077
2019-11-27,15750,16700,15000,16550,21431,0.050793650793650835
2019-11-28,16300,16500,15450,15450,17378,-0.06646525679758308
2019-11-29,15400,15700,13900,14550,16316,-0.058252427184465994
2019-12-02,14150,14900,13500,14300,31313,-0.01718213058419249
2019-12-03,14000,18550,13650,18550,217178,0.2972027972027973
2019-12-04,20100,22100,16300,16800,666852,-0.09433962264150941
2019-12-05,16350,16800,14100,15000,136457,-0.1071428571428571
2019-12-06,14750,17450,14200,14750,444225,-0.01666666666666672
2019-12-09,15200,15400,14300,14550,96990,-0.013559322033898313
2019-12-10,14650,18900,14600,15100,845717,0.037800687285223455
2019-12-11,15900,18600,15500,18200,691613,0.20529801324503305
2019-12-12,18000,18700,16800,17600,169552,-0.03296703296703296
2019-12-13,18500,22850,18000,22850,586457,0.2982954545454546
2019-12-16,26150,29700,24650,29700,985159,0.29978118161925593
2019-12-17,28750,35500,27300,28250,1630921,-0.04882154882154888
2019-12-18,27500,31150,26450,26500,713353,-0.06194690265486724
2019-12-19,27450,28000,25250,25600,343968,-0.03396226415094339
2019-12-20,25800,26100,22500,23750,216354,-0.072265625
2019-12-23,23050,24050,21450,21700,150620,-0.08631578947368423
2019-12-24,21500,26000,21300,23900,763196,0.10138248847926268
2019-12-26,23800,28350,22000,24750,769718,0.03556485355648542
2019-12-27,25400,28400,25100,25200,627503,0.018181818181818077
2019-12-30,26300,27350,25200,25200,324015,0.0
2020-01-02,25600,26850,25250,25600,168179,0.015873015873015817
2020-01-03,25700,28250,24700,25800,432192,0.0078125
2020-01-06,25000,26100,24300,24650,186429,-0.04457364341085268
2020-01-07,24500,25250,23850,23900,83944,-0.030425963488843855
2020-01-08,24150,24500,22050,22700,92914,-0.05020920502092052
2020-01-09,23450,24800,22950,23700,114625,0.044052863436123246
2020-01-10,24500,24850,23200,23500,80285,-0.008438818565400852
2020-01-13,23950,23950,22750,22750,39745,-0.03191489361702127
2020-01-14,23100,25350,22800,23000,138190,0.01098901098901095
2020-01-15,23300,23350,22700,22750,32461,-0.010869565217391353
2020-01-16,23150,23850,22700,23100,55494,0.01538461538461533
2020-01-17,23500,23550,22350,22450,43645,-0.02813852813852813
2020-01-20,22400,22850,22000,22050,31962,-0.017817371937639215
2020-01-21,22100,22400,21000,21300,30885,-0.03401360544217691
2020-01-22,21400,24500,21250,22600,398782,0.06103286384976525
2020-01-23,22950,23550,22300,22350,70940,-0.011061946902654829
2020-01-28,21250,23000,20700,22200,80125,-0.006711409395973145
2020-01-29,22400,23000,21650,21650,52160,-0.024774774774774744
2020-01-30,21500,26500,21400,23250,536951,0.07390300230946889
2020-01-31,22950,23700,21450,21500,94084,-0.07526881720430112
2020-02-03,20500,22350,19950,20850,90803,-0.03023255813953485
2020-02-04,21650,24600,21500,22650,298868,0.08633093525179847
2020-02-05,23700,25300,23150,24550,210479,0.08388520971302427
2020-02-06,24150,24900,23900,24800,89624,0.010183299389002087
2020-02-07,25300,25900,23900,24900,88756,0.0040322580645162365
2020-02-10,24400,24850,23800,24200,60099,-0.028112449799196804
2020-02-11,24200,27400,24050,25400,283240,0.04958677685950419
2020-02-12,25400,25900,24600,25000,58030,-0.015748031496062964
2020-02-13,25700,25750,24200,24300,42406,-0.028000000000000025
2020-02-14,24950,26550,24500,25300,135515,0.04115226337448563
2020-02-17,25450,25700,24800,25100,27084,-0.007905138339920903
2020-02-18,25300,25500,23900,24750,29429,-0.013944223107569709
2020-02-19,24900,25300,24000,24650,20011,-0.004040404040404066
2020-02-20,24900,24900,23900,24400,17351,-0.010141987829614618
2020-02-21,24300,24350,23000,23000,20971,-0.05737704918032782
2020-02-24,22500,22500,21300,21750,23868,-0.05434782608695654
2020-02-25,21750,22800,21100,22500,20268,0.034482758620689724
2020-02-26,22350,23300,21900,22950,18751,0.020000000000000018
2020-02-27,22650,23200,22050,22050,10873,-0.039215686274509776
2020-02-28,22050,22500,20600,21000,12381,-0.04761904761904767
2020-03-02,21000,22000,20700,21550,10374,0.026190476190476097
2020-03-03,22300,22450,21500,21700,9716,0.006960556844547661
2020-03-04,21200,22800,21000,22550,18131,0.03917050691244239
2020-03-05,22550,23300,22350,22600,14389,0.0022172949002217113
2020-03-06,22100,22500,21700,21950,7066,-0.028761061946902644
2020-03-09,21950,21950,20350,20500,9587,-0.06605922551252852
2020-03-10,19550,21200,19350,20600,15208,0.004878048780487809
2020-03-11,21000,21000,18700,18750,16116,-0.0898058252427184
2020-03-12,18000,18900,15800,15800,37715,-0.15733333333333333
2020-03-13,13100,14550,12650,14000,38092,-0.11392405063291144
2020-03-16,14950,15400,13500,13500,22442,-0.0357142857142857
